cancer_name,OS,time,average A_Auc,G,G_tilda0,G_tilda1,G_tilda2,G_ind,G_mix,G_NT_ind,G_Sup_ind,G_Unsup_ind,G_NT_mix,G_Sup_mix,G_Unsup_mix,Pattern
GBMLGG,OS,1,0.8261521042615211,0.1269462816470457,0.12009144293736818,0.1041237010018844,0.32976886229220703,0.14580659154088704,0.10808597175320422,-0.025322580645161352,-0.041290322580645133,0.1843548387096775,0.011612903225806437,-0.004354838709677344,0.2212903225806453,110
GBMLGG,OS,2,0.8763452540106952,0.15897035369171575,0.057597804672107844,0.14524486349563714,0.3409311380054414,0.23604371892297582,0.08189698846045579,-0.18039215686274523,-0.09274509803921593,0.10294117647058831,-0.022352941176470575,0.06529411764705872,0.260980392156863,110
GBMLGG,PFI,1,0.825036075036075,0.17581213591217604,0.08706213591217604,0.19013031773035793,0.2750166813667215,0.23680535703702654,0.11481891478732553,-0.15056818181818177,-0.047499999999999876,0.03738636363636372,-0.026931818181818223,0.07613636363636367,0.16102272727272726,111
GBMLGG,PFI,2,0.8313743156934306,0.12557152240206426,0.019019798264133136,0.12419221205723663,0.2822956603330987,0.19584635233403702,0.0552966924700915,-0.18155172413793108,-0.07637931034482759,0.0817241379310345,-0.03155172413793117,0.07362068965517232,0.2317241379310344,111
KIPAN,DSS,1,0.7815973534971643,0.15803356397282065,0.0021627224855408356,0.16468718432507112,0.3997165385325075,0.2671969055885445,0.048870222357096815,-0.26555772994129156,-0.10303326810176128,0.1319960861056751,-0.046183953033268055,0.11634050880626223,0.3513698630136986,111
KIPAN,DSS,2,0.7873453353130413,0.16447658331625326,0.091034848898909,0.12436818223224233,0.34076384618888195,0.22530691816021797,0.10364624847228854,-0.13468834688346887,-0.10135501355013554,0.11504065040650407,-0.012195121951219634,0.021138211382113692,0.2375338753387533,110
KIPAN,DSS,3,0.7665868544600939,0.12008262108262102,0.04989743589743578,0.1286011396011396,0.2384159544159543,0.16353086419753093,0.07663437796771122,-0.11555555555555563,-0.0368518518518518,0.0729629629629629,-0.024814814814814845,0.053888888888888986,0.16370370370370368,111
KIPAN,DSS,4,0.756166408801788,0.24009683229352352,0.11370794340463464,0.22608168077837199,0.35183925653594766,0.3210028594771243,0.15919080510992278,-0.2047979797979798,-0.09242424242424246,0.033333333333333215,-0.0479797979797979,0.06439393939393945,0.19015151515151513,111
KIPAN,DSS,5,0.7884528170242456,0.26892393561786077,0.1348614356178608,0.2314239356178608,0.3536114356178608,0.37435974818276224,0.16348812305295946,-0.241875,-0.1453125,-0.023125000000000007,-0.026249999999999996,0.0703125,0.1925,110
KIPAN,OS,1,0.7467287014061207,0.15861696762809774,0.0413450081686384,0.18855784600647607,0.2847571703308004,0.23611396376807325,0.08111997148812211,-0.19552364864864857,-0.0483108108108109,0.04788851351351342,-0.03902027027027,0.10819256756756768,0.204391891891892,111
KIPAN,OS,2,0.7116542114977716,0.14393137394214972,0.03089565965643537,0.1456575644183402,0.2308956596564355,0.2031814449917897,0.08468130289250986,-0.17107142857142865,-0.05630952380952381,0.02892857142857147,-0.05500000000000005,0.059761904761904794,0.14500000000000007,111
KIPAN,OS,3,0.6959539190353144,0.09324419479704316,0.04593236684005375,0.1237549474852151,0.17335172167876356,0.11805133400878087,0.06843705558530544,-0.0721774193548389,0.005645161290322442,0.05524193548387091,-0.02244623655913991,0.055376344086021434,0.1049731182795699,111
KIPAN,OS,4,0.694535041060097,0.1947713674188829,0.10355759930294084,0.21243441089714377,0.21859383118699888,0.25137367402895355,0.1381690608088123,-0.14673913043478265,-0.03786231884057972,-0.03170289855072461,-0.03568840579710153,0.0731884057971014,0.07934782608695651,111
KIPAN,OS,5,0.7352885714285715,0.19881085824275357,0.08318585824275371,0.18839419157608683,0.3263108582427535,0.2799943387681159,0.11762737771739129,-0.20041666666666652,-0.0952083333333334,0.04270833333333329,-0.030833333333333157,0.07437499999999997,0.21229166666666666,111
KIPAN,PFI,1,0.715727369113776,0.2046241598755727,0.061043843133491205,0.23044429562217905,0.2560664675678805,0.29831523472674265,0.1109330850244028,-0.23382352941176482,-0.06442307692307697,-0.03880090497737554,-0.05333710407239822,0.11606334841628962,0.14168552036199106,111
KIPAN,PFI,2,0.7324368959043182,0.25884719167857617,0.15446122676629548,0.27383257179553516,0.2790226302750674,0.33630672519753274,0.18138765815961966,-0.17909356725146203,-0.05972222222222234,-0.0545321637426901,-0.029678362573099415,0.08969298245614027,0.09488304093567251,111
KIPAN,PFI,3,0.741585497835498,0.20713224283496612,0.11999232513949298,0.241700144069534,0.2687577572382582,0.28170152160859946,0.13256296406133294,-0.16131687242798348,-0.03960905349794247,-0.012551440329218289,-0.012962962962962843,0.10874485596707817,0.13580246913580235,110
KIPAN,PFI,4,0.7451015473887814,0.33446422641039486,0.2707877558221595,0.34490540288098304,0.3097583440574536,0.3720255614595875,0.2969028913612022,-0.09941176470588237,-0.025294117647058856,-0.060441176470588276,-0.027941176470588247,0.04617647058823526,0.011029411764705843,111
KIPAN,PFI,5,0.7602966381015162,0.3525143963720003,0.23584772970533363,0.35597759983520394,0.3386615825191865,0.4458141312696551,0.2592146614743456,-0.2114718614718616,-0.09134199134199128,-0.10865800865800873,-0.021861471861471804,0.0982683982683985,0.08095238095238105,111
KIRC,DSS,5,0.7448369323735892,0.30924275945293633,0.24611775945293624,0.3861177594529363,0.32111775945293636,0.31220635559131127,0.30627916331456145,-0.06500000000000017,0.0749999999999999,0.009999999999999953,-0.06125000000000008,0.07874999999999999,0.01375000000000004,111
KIRC,OS,3,0.6791103272584754,0.23913189449788724,0.20274796592645866,0.31926582306931583,0.22373010878360144,0.21933662231412382,0.25892716668165067,-0.01473214285714286,0.10178571428571431,0.006249999999999922,-0.0580357142857143,0.05848214285714287,-0.03705357142857152,110
KIRC,OS,4,0.6608437391605967,0.2338866375411226,0.23082541305132676,0.2981723518268369,0.2405192906023471,0.21402315845837439,0.25375011662387076,0.021428571428571463,0.08877551020408159,0.03112244897959182,-0.027551020408163207,0.039795918367346916,-0.01785714285714285,110
KIRC,OS,5,0.6941418673330305,0.17000881661442002,0.17344631661442,0.22157131661442003,0.23157131661442,0.16472897074190174,0.17528866248693842,0.01187500000000008,0.06000000000000011,0.07000000000000006,-0.0050000000000001155,0.04312499999999991,0.05312499999999987,110
KIRC,PFI,2,0.7214898295766905,0.3299214827322543,0.3389440391232318,0.37653802408563775,0.2927034376194724,0.30076887664075436,0.35907408882375424,0.045488721804511356,0.08308270676691731,-0.0007518796992480592,-0.02744360902255638,0.010150375939849576,-0.0736842105263158,110
KIRC,PFI,3,0.723375361719719,0.28292627224938377,0.2747630069432612,0.3227221906167307,0.3196609661269347,0.27147017997803347,0.29438236452073396,0.008673469387754984,0.05663265306122445,0.05357142857142844,-0.025000000000000078,0.022959183673469385,0.019897959183673375,110
KIRC,PFI,4,0.7220774291497976,0.3315409860448273,0.3684854304892717,0.3551520971559383,0.2857076527114938,0.2884491522135569,0.3746328198760976,0.08333333333333326,0.0699999999999999,0.0005555555555553648,-0.009444444444444478,-0.02277777777777784,-0.09222222222222237,110
KIRC,PFI,5,0.7288998419745655,0.4273528757274906,0.3383528757274905,0.5213528757274906,0.3993528757274905,0.46448904484765496,0.3902167066073262,-0.1250000000000001,0.057999999999999885,-0.06400000000000011,-0.05300000000000005,0.12999999999999995,0.007999999999999952,111
KIRP,DSS,2,0.804308176100629,0.0005492424242424798,0.007215909090909189,-0.011117424242424234,0.2905492424242424,0.0009722222222222632,0.00012626262626258544,-0.04222222222222216,-0.060555555555555585,0.24111111111111105,0.05555555555555569,0.03722222222222227,0.3388888888888889,001
KIRP,DSS,4,0.6845029239766084,0.10289050235478814,-0.014609497645212022,-0.029609497645211924,0.26289050235478806,0.21603806907378337,-0.010257064364207036,-0.2425000000000001,-0.2575,0.034999999999999976,0.007499999999999729,-0.007500000000000173,0.2849999999999998,010
KIRP,DSS,5,0.7417073170731708,0.022352941176470575,0.012352941176470678,-0.024789915966386467,0.25806722689075634,0.057338935574229644,-0.012633053221288382,-0.137142857142857,-0.17428571428571416,0.10857142857142865,0.11714285714285722,0.08000000000000007,0.3628571428571429,001
KIRP,PFI,1,0.695665548098434,0.047785623664529764,0.01585202991452983,0.03596921741452985,0.20120359241452984,0.056530448717948656,0.039040798611111094,-0.0546875,-0.03457031249999998,0.1306640625,-0.009179687499999978,0.010937500000000044,0.17617187500000003,110
KIRP,PFI,2,0.6619814241486068,0.0668264840896583,0.03429807499874915,0.030888984089658345,0.1860026204532947,0.08286401786161002,0.05078895031770658,-0.07840909090909098,-0.08181818181818179,0.07329545454545455,0.013352272727272685,0.009943181818181879,0.16505681818181822,110
LGG,PFI,2,0.687387323943662,0.13642825275794945,0.030178252757949386,0.13799075275794936,0.2747095027579494,0.2590789260220636,0.01377757949383529,-0.22968750000000004,-0.12187500000000007,0.014843749999999989,0.017187500000000022,0.125,0.26171875000000006,010
PanGI,DSS,4,0.6716774193548387,0.09877631578947355,-0.015223684210526334,0.08777631578947365,0.24677631578947357,0.23361528822055122,-0.03606265664160402,-0.2519999999999999,-0.1489999999999999,0.010000000000000009,0.02400000000000002,0.127,0.2859999999999999,010
PanGI,OS,2,0.6706193596905886,0.13028022268506012,-0.032934063029225524,0.1125421274469649,0.21063736554220303,0.21615198705603145,0.044408458314088795,-0.25071428571428556,-0.10523809523809513,-0.0071428571428570065,-0.07571428571428573,0.06976190476190469,0.16785714285714282,111
PanGI,OS,3,0.6920508025557115,0.1120952367014012,0.021123014479178748,0.08964153299769739,0.28454894040510487,0.19396450454669623,0.030225968856105956,-0.17268518518518527,-0.10416666666666663,0.09074074074074084,-0.009259259259259522,0.05925925925925912,0.2541666666666666,010
PanGyn,DFI,1,0.6537310395856456,0.06443803098450762,0.10629517384165055,0.06991422146069803,0.17839041193688865,0.05216377525522953,0.07671228671378583,0.056571428571428606,0.020190476190476092,0.1286666666666667,0.027142857142857246,-0.009238095238095267,0.09923809523809535,110
PanGyn,DFI,2,0.7297760679834635,0.047024599802746536,0.12325759300002559,-0.006589345775484756,0.14128480388437925,-0.010776348953459913,0.10482554855895287,0.13954081632653081,0.009693877551020469,0.15756802721088448,0.012925170068027292,-0.11692176870748305,0.030952380952380953,100
PanGyn,DFI,3,0.7284135698198198,0.0681125313533617,0.13520963879137826,0.054734432179808,0.1834534404442707,0.044826061540572226,0.09139900116615118,0.09142561983471076,0.010950413223140498,0.1396694214876032,0.042768595041322466,-0.037706611570247794,0.0910123966942149,110
PanGyn,DFI,4,0.7491080604903833,0.11166576555424745,0.09129963283113529,0.10022411795699349,0.22264974724761133,0.11228719417291655,0.11104433693557836,-0.020709382151029798,-0.011784897025171603,0.11064073226544624,-0.020022883295194527,-0.011098398169336332,0.11132723112128151,110
PanGyn,DFI,5,0.7711566091954023,0.16718810386473426,0.12744625603864734,0.16168538647343,0.273098429951691,0.18605404589371988,0.14832216183574864,-0.05733695652173909,-0.02309782608695643,0.08831521739130455,-0.022146739130434745,0.012092391304347916,0.12350543478260889,110
PanGyn,DSS,1,0.7098662012798138,0.08107054562860327,0.04017537884848066,0.06842588939987626,0.21400111063881422,0.12798806543632424,0.0341530258208822,-0.08727025187202186,-0.05901974132062626,0.0865554799183117,0.005479918311776633,0.033730428863172235,0.1793056501021102,110
PanGyn,DSS,2,0.6986899171721124,0.002968906325929832,-0.04406525516475335,0.006586918748289983,0.16034468272344538,0.04221427958886159,-0.03627646693700204,-0.08509316770186326,-0.03444099378881993,0.11931677018633546,-0.008975155279502989,0.04167701863354034,0.19543478260869573,010
